Title,First air date,End date,Rating,Genres,Status,Network or Channel,Summary,Tvmaze Link
Forged in Fire,2015-06-22,2025-09-24,7.7,,Running,History,"Forged in Fire features world-class bladesmiths competing against each other to create some of the most iconic edged weapons from history. In each episode, four of the best bladesmiths in the country will come together to put both their skills and reputations on the line. Whether they are making a Japanese katana, a medieval broadsword, or an ancient throwing blade like the chakram, the weapons they forge will be fully functional and lethal works of art and war. The unique histories contained within each weapon will be creatively told during the forging process and the final weapons themselves will be assessed and ruthlessly tested by our panel of expert judges. These dynamic and explosive tests will be individually designed to push the weapons to their absolute limit. One by one, the bladesmiths will be eliminated until only one remains to be crowned the champion.",https://www.tvmaze.com/shows/2225/forged-in-fire
Sunny,2024-07-10,2024-09-04,6.4,"Comedy, Drama, Science-Fiction",Ended,Apple TV,"Suzie, an American woman living in Kyoto, Japan, whose life is upended when her husband and son disappear in a mysterious plane crash. As ""consolation"" she's given Sunny, one of a new class of domestic robots made by her husband's electronics company. Though at first Suzie resents Sunny's attempts to fill the void in her life, gradually they develop an unexpected friendship, as together they uncover the dark truth of what really happened to Suzie's family, becoming dangerously enmeshed in a world Suzie never knew existed.",https://www.tvmaze.com/shows/60398/sunny
Truth Seekers,2020-10-30,2020-10-30,6.5,"Comedy, Drama, Supernatural",Ended,Prime Video,"Truth Seekers centers on a pair of paranormal investigators, Gus and Dave, who take out haunted churches, underground bunkers, and abandoned hospitals using an array of homemade ghost-detecting gizmos and share their adventures on an online channel. Their supernatural experiences grow more frequent, terrifying, and even deadly as the pair begin to uncover a conspiracy that could threaten the entire human race.",https://www.tvmaze.com/shows/43275/truth-seekers
Zoey's Extraordinary Playlist,2020-01-07,2021-12-01,7.1,"Comedy, Drama, Music",Ended,NBC,"Innovative musical dramedy about a whip-smart but socially awkward girl in her late 20's who is suddenly able to hear the innermost thoughts of people around her as songs and even big musical numbers that they perform just for her. With this new ability at her disposal, she is able to use her ‘gift' to not only help herself understand people in her life, but also to help others around her.",https://www.tvmaze.com/shows/41135/zoeys-extraordinary-playlist
BMF,2021-09-26,2025-08-15,4.6,"Drama, Music, Thriller",Running,STARZ,"Late 1980s. The journey of two brothers, Demetrius ""Big Meech"" Flenory and Terry ""Southwest T"" Flenory, having grown up with the street codes of Detroit. They gave birth to one of the most influential criminal families in the United States thanks to the drug trade.",https://www.tvmaze.com/shows/53266/bmf
Top Chef,2006-03-08,2025-06-12,7.4,Food,Running,Bravo,"Top Chef is a competition show in which chefs competing against each other in various culinary challenges, judged by the team of professional chefs and notable people from food industry.",https://www.tvmaze.com/shows/295/top-chef
90 Day Fiancé,2014-01-12,2025-06-29,5.7,"Drama, Romance",To Be Determined,TLC,"90 Day Fiancé offers a unique look into the world of international dating and matrimony. Using a unique 90-day fiance visa, the K-1 visa, four women and two men will travel to the U.S. to live with their overseas partners for the first time. The couples must marry before their visas expire in 90 days, or the visiting partner will have to return home. They'll have to overcome language barriers, culture shock and skeptical friends and family -- all with a clock that starts ticking the moment they step foot on U.S. soil. The stakes are incredibly high as these couples are forced to make a life-altering decision: get married or send their international mate home.",https://www.tvmaze.com/shows/3139/90-day-fiance
Monk,2002-07-12,2023-12-08,8,"Crime, Drama, Mystery",Ended,USA Network,"An ex-cop suffering from obsessive-compulsive disorder solves crimes with various (and usually exasperated) sidekicks. The 'defective detective' may have an abundance of phobias (heights, crowds, and even milk), but also razor-sharp deductive skills, which he uses to help the San Francisco police with especially baffling cases.",https://www.tvmaze.com/shows/543/monk
Rogue,2013-04-03,2017-05-24,7.6,"Action, Crime",Ended,Audience Network,"Grace has left her life as an undercover cop to be a better mother to her daughter. She's recently separated from Tom and with the arrival of her estranged mother, she's got plenty of drama at home. Grace's new job as a handler for an FBI task force has her investigating corporate espionage in San Francisco. But when her undercover operative, Sarah, goes missing, Grace is forced to go back undercover to save her. That's when she meets Ethan the owner of the security consultancy Sarah investigated before disappearing. Grace looks to gain Ethan's trust to learn what happened to Sarah, but Ethan has his own agenda. His close friend and business partner was murdered the night Sarah vanished. He's determined to find who's responsible—creating a dangerous game of cat and mouse. As Grace gets closer to Ethan, her feelings grow. But can she trust him?",https://www.tvmaze.com/shows/309/rogue
Critical Role,2015-03-13,2025-10-23,8,"Adventure, Fantasy",Running,Twitch,"Voice actor Matthew Mercer leads a group of fellow voice actors on epic Dungeons &amp; Dragons campaigns. These familiar voices bring the audience into the full experience of D&amp;D, allowing imaginations to soar as the characters embark on adventures. This is Critical Role!",https://www.tvmaze.com/shows/13215/critical-role
Pearson,2019-07-17,2019-09-18,6.5,"Drama, Legal",Ended,USA Network,"Pearson centers around the world of recently disbarred NYC powerhouse lawyer Jessica Pearson as she adjusts to down and dirty Chicago politics. Newly appointed as Chicago Mayor Bobby Novak's right hand fixer, Jessica is quickly embroiled in a crooked and dangerous new world where every action has far-reaching consequences. With her compulsion to win, Jessica is forced to reconcile her unstoppable drive with her desire to do the right thing – two things very much at odds.",https://www.tvmaze.com/shows/36754/pearson
Grimsburg,2024-01-07,2025-07-17,5.5,"Comedy, Crime",Running,FOX,"Marvin Flute may be the greatest detective ever to catch a cannibal clown or correctly identify a mid-century modern armoire. But there's one mystery he still can't crack - his family. Now that he's back in Grimsburg, a town where everyone has a secret or three, Flute will follow every lead he's got to redeem himself with the ex-wife he never stopped loving, even if it means hanging out with the son he never bothered to get to know.",https://www.tvmaze.com/shows/58638/grimsburg
Kaleidoscope,2023-01-01,2023-01-01,6.1,"Action, Crime, Drama",Ended,Netflix,"Spanning 24 years, Kaleidoscope centers around the largest heist ever attempted, and the vengeance, scheming, loyalties, and betrayals that surround it. It's loosely inspired by the real-life story where seventy billion dollars in bonds went missing in downtown Manhattan during Hurricane Sandy.A heist thriller with a unique concept - eight episodes that can be watched in any order, with each episode featuring a different color code to indicate its place in the timeline.",https://www.tvmaze.com/shows/57680/kaleidoscope
La Brea,2021-09-28,2024-02-13,6.3,"Drama, Fantasy, Science-Fiction",Ended,NBC,"When a massive sinkhole mysteriously opens in Los Angeles, it tears a family in half, separating mother and son from father and daughter. When part of the family find themselves in an unexplainable primeval world, alongside a disparate group of strangers, they must work to survive and uncover the mystery of where they are and if there is a way back home.",https://www.tvmaze.com/shows/45856/la-brea
Star Trek: Enterprise,2001-09-26,2005-05-13,8.2,"Action, Adventure, Science-Fiction",Ended,UPN,"Star Trek: Enterprise (ENT) focuses on the 22nd century adventures of Captain Jonathan Archer aboard the Enterprise NX-01 during the early days of interstellar travel. The NX designation indicates that this Enterprise is an experimental prototype; Unlike the starships of the four other Star Trek series, this Enterprise doesn't have deflector shields or phasers, but it does come equipped with a phase cannon and a rudimentary transporter that functions efficiently most of the time.",https://www.tvmaze.com/shows/714/star-trek-enterprise
King of the Hill,1997-01-12,2025-08-04,7.6,Comedy,Running,Hulu,"King of the Hill follows the life of Hank Hill, his wife Peggy, their 13-year-old son Bobby, their 18-year-old niece Luanne, her husband Lucky, their newborn baby girl Gracie and his beer guzzling neighborhood buddies, Dale, Bill and Boomhauer.",https://www.tvmaze.com/shows/115/king-of-the-hill
Monsters: The Lyle and Erik Menendez Story,2024-09-19,2024-09-19,7.3,"Crime, Drama, History",Ended,Netflix,This riveting true-crime drama probes the lives of convicted killers the Menendez brothers and the brutal 1989 murder of their parents in Beverly Hills.,https://www.tvmaze.com/shows/68626/monsters-the-lyle-and-erik-menendez-story
SpongeBob SquarePants,2007-11-12,2025-12-12,8,"Adventure, Comedy, Fantasy",Running,Nickelodeon,"Come follow the adventures of the world's most lovable sponge and his starfish sidekick! Though they have the best intentions, SpongeBob and Patrick are always causing trouble… and plenty of laughs!When he's not at the Krusty Krab grilling up some epic Krabby Patties, SpongeBob can be found jellyfishing with Patrick, blowing bubbles, or annoying his favorite neighbor, Squidward!Bikini Bottom is home to the coolest creatures under the sea, and you CAN'T miss out on any of their adventures. Is mayonnaise an instrument? Watch SpongeBob SquarePants to find out!Are you ready, kids? AYE AYE CAPTAIN!",https://www.tvmaze.com/shows/713/spongebob-squarepants
The Daily Show,2023-01-17,2025-11-20,7.8,Comedy,Running,Comedy Central,"Hosted by a rotating cast of comedy greats, The Daily Show remains the go-to source for provocative satire, insightful interviews and an award-winning team of correspondents and contributors.",https://www.tvmaze.com/shows/66198/the-daily-show
Richard Hammond's Workshop,2021-10-18,2025-11-03,7.6,,Running,discovery+,"Richard Hammond trades his jet-setting lifestyle for a long-standing dream to set up a classic car restoration workshop close to his home in Herefordshire. With the help of skilled craftsmen, he navigates the ups and downs of building a new business.",https://www.tvmaze.com/shows/58396/richard-hammonds-workshop
Star Trek: Lower Decks,2020-07-23,2024-12-19,7.6,"Comedy, Science-Fiction",Ended,Paramount+,"Star Trek: Lower Decks focuses on the support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, in 2380. Ensigns Mariner, Boimler, Rutherford and Tendi have to keep up with their duties and their social lives, often while the ship is being rocked by a multitude of sci-fi anomalies.",https://www.tvmaze.com/shows/39323/star-trek-lower-decks
The Good Doctor,2017-09-25,2024-05-21,7.6,"Drama, Medical",Ended,ABC,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",https://www.tvmaze.com/shows/21845/the-good-doctor
20/20,2016-01-01,2025-10-24,6,,Running,ABC,"20/20 continues to combine hard-hitting investigative reports, newsmaker interviews and compelling human interest and feature stories.",https://www.tvmaze.com/shows/1401/2020
MasterChef,2010-07-27,2025-09-17,6.8,Food,Running,FOX,Three celebrated food experts put the latest group of contestants through a series of challenging elimination rounds and turn one home cook into a culinary master.,https://www.tvmaze.com/shows/324/masterchef
A Good Girl's Guide to Murder,2024-07-01,2024-07-01,7.3,"Crime, Thriller",Running,BBC iPlayer,"Five years ago, schoolgirl Andie Bell was murdered by Sal Singh. Case closed. The police know he did it. Everyone in town knows he did it. But Pippa Fitz-Amobi - our insatiably smart, slightly square heroine - isn't so sure and she's determined to prove it. But if Sal Singh isn't a murderer and the real killer is still out there, how far will they go to keep Pippa from the truth?",https://www.tvmaze.com/shows/63949/a-good-girls-guide-to-murder
The Librarians,2014-12-07,2018-02-07,7.2,"Action, Adventure, Supernatural",Ended,TNT,"In The Librarians, four ordinary people from around the world are selected to work for the Library, an ancient order dedicated to solving supernatural mysteries and protecting the innocent from the secret magical world all around us.",https://www.tvmaze.com/shows/340/the-librarians
Orphan Black,2013-03-30,2017-08-12,8.6,"Drama, Science-Fiction, Thriller",Ended,CTV Sci-Fi Channel,"Orphan Black is about Sarah, an outsider and orphan whose life changes dramatically after witnessing the suicide of a woman, ""Beth"", who looks just like her. Sarah takes her identity, her boyfriend and her money. But instead of solving her problems, the street-smart chameleon is thrust headlong into a kaleidoscopic mystery. She makes the dizzying discovery that she and the dead woman are clones... but are they the only ones? Sarah quickly finds herself caught in the middle of a deadly conspiracy, racing to find answers.",https://www.tvmaze.com/shows/61/orphan-black
Gotham,2014-08-22,2019-04-25,7.7,"Action, Crime, Drama",Ended,FOX,"The good. The evil. The beginning.Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?Gotham is an origin story of the great DC Comics Super-Villains and vigilantes, revealing an entirely new chapter that has never been told. It follows one cop's rise through a dangerously corrupt city teetering between good and evil, and chronicles the birth of one of the most popular super heroes of our time.",https://www.tvmaze.com/shows/11/gotham
Manifest,2018-09-24,2023-06-02,7,"Drama, Mystery, Thriller",Ended,Netflix,"When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But in the span of those few hours, the world had aged five years - and their friends, families and colleagues, after mourning their loss, had given up hope and moved on. Now, faced with the impossible, they're all given a second chance. But as their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",https://www.tvmaze.com/shows/31365/manifest
Highlander,1992-10-03,2007-03-19,7.8,"Action, Drama, Fantasy",Ended,Syndication,"""I am Duncan Macleod, born 400 years ago in the Highlands of Scotland. I am Immortal, and I am not alone. For centuries we have waited for the time of the Gathering, when the stroke of a sword and the fall of a head will release the power of the Quickening. In the end, there can be only one.""",https://www.tvmaze.com/shows/1911/highlander
The Watcher,2022-10-13,2022-10-13,7.2,"Drama, Horror, Mystery",Running,Netflix,"Based on a true story, The Watcher follows a married couple whose move into their dream home is being threatened by terrifying letters from a stalker, signed ""The Watcher"".",https://www.tvmaze.com/shows/55905/the-watcher
Sherwood,2022-06-13,2024-09-09,7.2,"Crime, Drama",Running,BBC One,"Old grudges, new rivalries. A tangled web of murder and revenge spirals in a fractured Nottinghamshire mining community.",https://www.tvmaze.com/shows/53255/sherwood
Obi-Wan Kenobi,2022-05-27,2022-09-08,7.3,"Action, Adventure, Science-Fiction",Ended,Disney+,"The series begins 10 years after the dramatic events of Star Wars: Revenge of the Sith, where Obi-Wan faced his greatest defeat, the downfall, and corruption of his best friend and Jedi apprentice, Anakin Skywalker, who turned evil Sith Lord Darth Vader.",https://www.tvmaze.com/shows/52260/obi-wan-kenobi
Vienna Blood,2019-11-18,2024-08-04,7.1,"Crime, Drama, Mystery",Running,BBC iPlayer,"Max Liebermann is a brilliant young English student of famed psychoanalyst Sigmund Freud. When Max comes into contact with Oskar Rheinhardt, a Detective Inspector struggling with a strange case, he agrees to help him investigate a series of unusual and disturbing murders. Max's extraordinary skills of perception and forensics, and his deep understanding of human behavior and deviance, lead them to solving some of Vienna's most mysterious and deadly cases.",https://www.tvmaze.com/shows/44698/vienna-blood
Harrow,2018-03-09,2021-04-11,7.6,"Crime, Drama, Medical",Ended,ABC,"Harrow tells the story of Dr. Daniel Harrow, who is no ordinary forensic pathologist. Brilliant. Unorthodox. And a murderer? Harrow's total disregard for authority and his unfailing empathy for the dead help him solve even the most bizarre of cases. He is driven to give victims a voice and will bend every rule to get to the truth of what happened to them. But when a terrible secret from his past threatens his family, his career and himself, Harrow needs all his wit, wile and forensic genius not to solve a crime but to keep it buried.",https://www.tvmaze.com/shows/30416/harrow
White Collar,2009-10-23,2014-12-18,8.2,"Comedy, Crime, Drama",Ended,USA Network,"The series focuses on the unlikely partnership between the very intelligent and charming con-artist Neal Caffrey and the hard-working and earnest FBI agent Peter Burke. In exchange for his freedom, and on the condition that he wear an ankle bracelet at all times, Caffrey provides his expertise in thievery to help Burke and agents Clinton Jones and Diana Berrigan catch other elusive white collar criminals.",https://www.tvmaze.com/shows/323/white-collar
Revolution,2012-09-17,2014-05-21,7.5,"Action, Adventure, Science-Fiction",Ended,NBC,"What would you do without it all? In this epic adventure, a family struggles to reunite in an American landscape void of electricity: a world of empty cities, local militias and heroic freedom fighters, where every single piece of technology -- computers, planes, cars, phones, even lights -- has mysteriously blacked out forever.",https://www.tvmaze.com/shows/237/revolution
RFDS,2021-08-11,2025-11-19,7.7,"Drama, Medical",Running,Seven Network,RFDS portrays the modern-day heroes of the Royal Flying Doctor Service who navigate private lives as turbulent and profound as the heart stopping emergencies they attend.,https://www.tvmaze.com/shows/51620/rfds
The Witcher,2019-12-20,2025-10-30,8,"Action, Drama, Fantasy",Running,Netflix,"Based on the best-selling fantasy series, The Witcher is an epic tale of fate and family. Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts. But when destiny hurtles him toward a powerful sorceress, and a young princess with a dangerous secret, the three must learn to navigate the increasingly volatile Continent together.",https://www.tvmaze.com/shows/28276/the-witcher
Stranger Things,2016-07-15,2025-12-31,8.5,"Drama, Horror, Science-Fiction",Running,Netflix,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",https://www.tvmaze.com/shows/2993/stranger-things
NCIS,2006-09-19,2025-12-16,7.9,"Action, Crime, Drama",Running,CBS,"NCIS (Naval Criminal Investigative Service) is more than just an action drama. With liberal doses of humor, it's a show that focuses on the sometimes complex and always amusing dynamics of a team forced to work together in high-stress situations. Leroy Jethro Gibbs, a former Marine gunnery sergeant, whose skills as an investigator are unmatched, leads this troupe of colorful personalities. Rounding out the team are Anthony DiNozzo, an ex-homicide detective whose instincts in the field are unparalleled and whose quick wit and humorous take on life make him a team favorite; the youthful and energetic forensic specialist Abby Sciuto, a talented scientist whose sharp mind matches her Goth style and eclectic tastes; Caitlin Todd, an ex-Secret Service Agent; and Timothy McGee, an MIT graduate whose brilliance with computers far overshadows his insecurities in the field; Assisting the team is medical examiner Dr. Donald ""Ducky"" Mallard, who knows it all because he's seen it all, and he's not afraid to let you know. From murder and espionage to terrorism and stolen submarines, these special agents travel the globe to investigate all crimes with Navy or Marine Corps ties.",https://www.tvmaze.com/shows/60/ncis
South Park,1992-12-08,2025-12-10,8.3,Comedy,Running,Comedy Central,South Park is an adult comedy animation show centred around 4 children in the small town of south park. Its humour is often dark involving satirical elements and mocking current real-life events.,https://www.tvmaze.com/shows/112/south-park
Grey's Anatomy,2005-09-25,2025-11-13,7.7,"Drama, Medical, Romance",Running,ABC,"The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.",https://www.tvmaze.com/shows/67/greys-anatomy
The Boys,2019-07-26,2024-07-18,8.4,"Action, Adult, Fantasy",Running,Prime Video,"In a world where superheroes embrace the darker side of their massive celebrity and fame, The Boys centres on a group of vigilantes known informally as ""The Boys,"" who set out to take down corrupt superheroes with no more than blue collar grit and a willingness to fight dirty.",https://www.tvmaze.com/shows/15299/the-boys
Chicago P.D.,2014-01-08,2025-11-12,8,"Crime, Drama",Running,NBC,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head to head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond. These are their stories.",https://www.tvmaze.com/shows/56/chicago-pd
FBI,2018-09-25,2025-12-15,7.2,"Crime, Drama",Running,CBS,"FBI is a fast-paced drama about the inner workings of the New York Field Office of the Federal Bureau of Investigation. These first-class agents, including Special Agent Maggie Bell and her partner, Special Agent Omar Adom 'OA' Zidan, bring all their talents, intellect and technical expertise on major cases in order to keep New York and the country safe.",https://www.tvmaze.com/shows/32158/fbi
Invasion,2021-10-22,2025-10-24,6.6,"Drama, Mystery, Science-Fiction",To Be Determined,Apple TV,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,https://www.tvmaze.com/shows/49964/invasion
Slow Horses,2022-04-01,2025-10-29,8,"Drama, Espionage, Thriller",Running,Apple TV,"Slow Horses follows the story of a group of British intelligence agents who serve in a dumping ground department of MI5 called Slough House after the big mistakes they've made that resulted in the end of their mainstream careers.This quick-witted spy drama follows a dysfunctional team of M15 agents—and their obnoxious boss, the notorious Jackson Lamb—as they navigate the espionage world's smoke and mirrors to defend England from sinister forces.",https://www.tvmaze.com/shows/45039/slow-horses
Chicago Fire,2012-10-10,2025-11-12,8,"Action, Drama",Running,NBC,"No job is more stressful, dangerous or exhilarating than those of the Firefighters, Rescue Squad and Paramedics of Chicago Firehouse 51. These are the courageous men and women who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death. These are their stories.",https://www.tvmaze.com/shows/59/chicago-fire
True Detective,2014-01-07,2024-02-18,8.1,"Crime, Drama, Thriller",Running,HBO,Touch darkness and darkness touches you back. True Detective centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.True Detective is an American anthology crime drama television series created and written by Nic Pizzolatto.,https://www.tvmaze.com/shows/5/true-detective
Gen V,2023-09-29,2025-10-22,7.3,"Action, Comedy, Science-Fiction",To Be Determined,Prime Video,"From the world of The Boys comes Gen V, a thrilling new series set at America's only college for superheroes. These gifted students put their moral boundaries to the test, competing for the university's top ranking, and a chance to join The Seven, Vought International's elite superhero team. When the school's dark secrets come to light, they must decide what kind of heroes they want to become.",https://www.tvmaze.com/shows/62998/gen-v
Tulsa King,2022-11-13,2025-11-23,7.7,"Comedy, Crime, Drama",Running,Paramount+,"Tulsa King follows New York mafia capo Dwight ""The General"" Manfredi, just after he is released from prison after 25 years and unceremoniously exiled by his boss to set up shop in Tulsa, Oklahoma. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a ""crew"" from a group of unlikely characters, to help him establish a new criminal empire in a place that, to him, might as well be another planet.",https://www.tvmaze.com/shows/59344/tulsa-king
Fallout,2024-04-10,2026-02-04,7.8,"Action, Drama, Science-Fiction",Running,Prime Video,"Based on one of the greatest video game series of all time, Fallout is the story of haves and have nots in a world in which there's almost nothing left to have. 200 years after the apocalypse, a peaceful denizen from a cozy fallout shelter is forced to return to the surface and is shocked to discover the wasteland waiting for her.",https://www.tvmaze.com/shows/49041/fallout
9-1-1,2018-01-03,2025-11-13,7.5,"Action, Crime, Drama",Running,ABC,"9-1-1 is a fast-paced exploration into the lives and careers of first responders – cops, paramedics, firefighters – the people who put their lives on the line to save others.",https://www.tvmaze.com/shows/28152/9-1-1
The Simpsons,2005-09-11,2025-11-16,8.1,"Comedy, Family",Running,FOX,"The Simpsons is the longest running scripted show in US television history. It captures the adventures of Homer, Marge, Maggie, Bart and Lisa who are living in a fictional town called Springfield.",https://www.tvmaze.com/shows/83/the-simpsons
Under the Dome,2013-06-24,2015-09-10,6.5,"Drama, Science-Fiction, Thriller",Ended,CBS,"Under the Dome is the story of a small town that is suddenly and inexplicably sealed off from the rest of the world by an enormous transparent dome. The town's inhabitants must deal with surviving the post-apocalyptic conditions while searching for answers about the dome, where it came from and if and when it will go away.",https://www.tvmaze.com/shows/1/under-the-dome
Foundation,2021-09-24,2025-09-12,7.7,"Drama, Mystery, Science-Fiction",Running,Apple TV,"When revolutionary Dr. Hari Seldon predicts the impending fall of the Empire, he and a band of loyal followers venture to the far reaches of the galaxy to establish The Foundation in an attempt to rebuild and preserve the future of civilization. Enraged by Hari's claims, the ruling Cleons – a long line of emperor clones – fear their grasp on the galaxy may be weakening as they're forced to reckon with the potential reality of losing their legacy forever.",https://www.tvmaze.com/shows/35951/foundation
